SeatMap,VerticalGridNumber,HorizontalGridNumber,ItemType,Seat Number,SeatLetter,CabinType,SellableSeatCategory,PermanentlyBlocked,Sellable,EliteZone,Bulkhead,Exit,LimitedRecline,MoveableArmrest,Aisle,Middle,Window,LeftAisle,LeftMiddle,LeftWindow,RightAisle,RightMiddle,RightWindow,CenterAisle,CenterMiddle,Under15YrsOld,PetInCabin,PrisonerGuard,DisabledPassenger,LapInfant
77W,1,1,LAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,1,2,AISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,1,3,CLOSET,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,1,4,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,1,5,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,1,6,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,2,1,LAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,2,2,AISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,2,3,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,2,4,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,2,5,AISLE,,,,,,,,X,,,,,,,,,,,,,,,,,,,
77W,2,6,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,3,1,EXIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,3,2,AISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,3,3,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,3,4,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,3,5,AISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,3,6,EXIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
77W,1000,1,DAAFRONTR,1,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1000,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1000,3,DAAFRONTL,1,D,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1000,4,DAAFRONTR,1,G,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1000,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1000,6,DAAFRONTL,1,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1001,1,DAARIGHT,2,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1001,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1001,3,DAALEFT,2,D,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1001,4,DAARIGHT,2,G,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1001,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1001,6,DAALEFT,2,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1002,1,DAAFRONTR,3,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1002,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1002,3,DAAFRONTL,3,D,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1002,4,DAAFRONTR,3,G,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1002,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1002,6,DAAFRONTL,3,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1003,1,DAARIGHT,4,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1003,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1003,3,DAALEFT,4,D,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1003,4,DAARIGHT,4,G,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1003,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1003,6,DAALEFT,4,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1004,1,DAAFRONTR,5,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1004,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1004,3,DAAFRONTL,5,D,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1004,4,DAAFRONTR,5,G,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1004,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1004,6,DAAFRONTL,5,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1005,1,DAARIGHT,6,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1005,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1005,3,DAALEFT,6,D,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1005,4,DAARIGHT,6,G,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1005,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1005,6,DAALEFT,6,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1006,1,DAAFRONTR,7,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1006,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1006,3,GALLEY,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1006,4,GALLEY,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1006,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1006,6,DAAFRONTL,7,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1007,1,DAARIGHT,8,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1007,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1007,3,SPACER,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1007,4,SPACER,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1007,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1007,6,DAALEFT,8,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1008,1,EXIT,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1008,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1008,3,EXIT,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1008,4,EXIT,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1008,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1008,6,EXIT,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1009,1,A LAV,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1009,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1009,3,GALLEY,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1009,4,GALLEY,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1009,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1009,6,LAV,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1010,1,DAAFRONTR,9,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1010,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1010,3,DAAFRONTL,9,D,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1010,4,DAAFRONTR,9,G,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1010,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1010,6,DAAFRONTL,9,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1011,1,DAARIGHT,10,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1011,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1011,3,DAALEFT,10,D,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1011,4,DAARIGHT,10,G,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1011,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1011,6,DAALEFT,10,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
77W,1012,1,DAAFRONTR,11,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
77W,1012,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1012,3,DAAFRONTL,11,D,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1012,4,DAAFRONTR,11,G,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
77W,1012,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
77W,1012,6,DAAFRONTL,11,L,F,,,,,,,,,,,X,,,,,,X,,,X,X,X,X,X
