SeatMap,VerticalGridNumber,HorizontalGridNumber,ItemType,Seat Number,SeatLetter,CabinType,SellableSeatCategory,PermanentlyBlocked,Sellable,EliteZone,Bulkhead,Exit,LimitedRecline,MoveableArmrest,Aisle,Middle,Window,LeftAisle,LeftMiddle,LeftWindow,RightAisle,RightMiddle,RightWindow,CenterAisle,CenterMiddle,Under15YrsOld,PetInCabin,PrisonerGuard,DisabledPassenger,LapInfant
B3A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1000,1,SEAT,1,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
B3A,1000,2,SEAT,1,B,F,,,,,,,,,X,,,X,,,,,,,,X,X,X,X,X
B3A,1000,3,AISLE,1,,F,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1000,4,SEAT,1,E,F,,,,,,,,,X,,,,,,X,,,,,X,X,X,X,X
B3A,1000,5,SEAT,1,F,F,,,,,,,,,,X,,,,,,X,,,,X,X,X,X,X
B3A,1001,1,SEAT,2,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
B3A,1001,2,SEAT,2,B,F,,,,,,,,,X,,,X,,,,,,,,X,X,X,X,X
B3A,1001,3,AISLE,2,,F,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1001,4,SEAT,2,E,F,,,,,,,,,X,,,,,,X,,,,,X,X,X,X,X
B3A,1001,5,SEAT,2,F,F,,,,,,,,,,X,,,,,,X,,,,X,X,X,X,X
B3A,1002,1,SEAT,3,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
B3A,1002,2,SEAT,3,B,F,,,,,,,,,X,,,X,,,,,,,,X,X,X,X,X
B3A,1002,3,AISLE,3,,F,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1002,4,SEAT,3,E,F,,,,,,,,,X,,,,,,X,,,,,X,X,X,X,X
B3A,1002,5,SEAT,3,F,F,,,,,,,,,,X,,,,,,X,,,,X,X,X,X,X
B3A,1003,1,SEAT,4,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
B3A,1003,2,SEAT,4,B,F,,,,,,,,,X,,,X,,,,,,,,X,X,X,X,X
B3A,1003,3,AISLE,4,,F,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1003,4,SEAT,4,E,F,,,,,,,,,X,,,,,,X,,,,,X,X,X,X,X
B3A,1003,5,SEAT,4,F,F,,,,,,,,,,X,,,,,,X,,,,X,X,X,X,X
B3A,1004,1,SEAT,5,A,F,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,X
B3A,1004,2,SEAT,5,B,F,,,,,,,,,X,,,X,,,,,,,,X,X,X,X,X
B3A,1004,3,AISLE,5,,F,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1004,4,SEAT,5,E,F,,,,,,,,,X,,,,,,X,,,,,X,X,X,X,X
B3A,1004,5,SEAT,5,F,F,,,,,,,,,,X,,,,,,X,,,,X,X,X,X,X
B3A,1005,1,DISCARDED,6,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1005,2,DISCARDED,6,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1005,3,DISCARDED,6,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1005,4,DISCARDED,6,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1005,5,DISCARDED,6,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1005,6,DISCARDED,6,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1005,7,DISCARDED,6,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1006,1,LAV,7,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1006,2,LAV,7,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1006,3,LAV,7,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1006,4,AISLE,7,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1006,5,SEAT,7,D,Y,PrimeBulkhead,,X,,X,,,,X,,,,,,X,,,,,X,,X,X,X
B3A,1006,6,SEAT,7,E,Y,PrimeBulkhead,,X,,X,,,,,X,,,,,,X,,,,X,,X,X,X
B3A,1006,7,SEAT,7,F,Y,PrimeBulkhead,,X,,X,,,,,,X,,,,,,X,,,X,,X,X,X
B3A,1007,1,SEAT,8,A,Y,PrimeBulkhead,,X,,X,,,,,,X,,,X,,,,,,X,,X,X,X
B3A,1007,2,SEAT,8,B,Y,PrimeBulkhead,,X,,X,,,,,X,,,X,,,,,,,X,,X,X,X
B3A,1007,3,SEAT,8,C,Y,PrimeBulkhead,,X,,X,,,,X,,,X,,,,,,,,X,,X,X,X
B3A,1007,4,AISLE,8,,Y,,,,,,,,,,,,,,,,,,,,,,,,
B3A,1007,5,SEAT,8,D,Y,PrimePlus,,X,,,,,,X,,,,,,X,,,,,X,X,X,X,X
B3A,1007,6,SEAT,8,E,Y,PrimePlus,,X,,,,,,,X,,,,,,X,,,,X,X,X,X,X
B3A,1007,7,SEAT,8,F,Y,PrimePlus,,X,,,,,,,,X,,,,,,X,,,X,X,X,X,X
B3A,1008,1,SEAT,9,A,Y,PrimePlus,,X,,,,,,,,X,,,X,,,,,,X,X,X,X,X
