SeatMap,VerticalGridNumber,HorizontalGridNumber,ItemType,Seat Number,SeatLetter,CabinType,SellableSeatCategory,PermanentlyBlocked,Sellable,EliteZone,Bulkhead,Exit,LimitedRecline,MoveableArmrest,Aisle,Middle,Window,LeftAisle,LeftMiddle,LeftWindow,RightAisle,RightMiddle,RightWindow,CenterAisle,CenterMiddle,Under15YrsOld,PetInCabin,PrisonerGuard,DisabledPassenger,LapInfant
U7R,1,1,LAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1,2,LAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1,3,AISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1,4,LAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1,5,LAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1,6,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1,7,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1,8,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,2,1,SPACER,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,2,2,SPACER,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,2,3,AISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,2,4,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,2,5,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,2,6,AISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,2,7,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,2,8,GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1000,1,FBRIGHT2,1,A,F,,,,,,,,,X,,,X,,,,,,,,X,X,X,X,X
U7R,1000,2,AISLE,1,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1000,3,FBLEFT1,1,C,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
U7R,1000,4,FBRIGHT1,1,H,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
U7R,1000,5,AISLE,1,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1000,6,FBLEFT2,1,K,F,,,,,,,,,X,,,,,,X,,,,,X,X,X,X,X
U7R,1001,1,FBRIGHT2,2,A,F,,,,,,,,,X,,,X,,,,,,,,X,X,X,X,X
U7R,1001,2,AISLE,2,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1001,3,FBLEFT1,2,C,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
U7R,1001,4,FBRIGHT1,2,H,F,,,,,,,,,X,,,,,,,,,X,,X,X,X,X,X
U7R,1001,5,AISLE,2,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1001,6,FBLEFT2,2,K,F,,,,,,,,,X,,,,,,X,,,,,X,X,X,X,X
U7R,1002,1,CLOSET,,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1002,2,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1002,3,SPACER,,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1002,4,SPACER,,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1002,5,AISLE,,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1002,6,CLOSET,,,F,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1003,1,DISCARDED,3,,C,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1003,2,DISCARDED,3,,C,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1003,3,DISCARDED,3,,C,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1003,4,DISCARDED,3,,C,,,,,,,,,,,,,,,,,,,,,,,,
U7R,1003,5,DISCARDED,3,,C,,,,,,,,,,,,,,,,,,,,,,,,
